"key","value","index"
"55-PKWF",0.755,9
"55-PKWF",0.755,10
"55-PKWF",0.755,11
"55-PKWF",0.755,12
"55-PKWF",0.83,13
"55-PKWF",0.83,14
"55-PKWF",0.8,15
"55-PKWF",0.75,16
"55-PKWF",0.75,17
"55-PKWF",0.9,18
"55-PKWF",0.8,19
"55-PKWF",0.75,20
"55-PKWF",0.75,21
"55-PKWF",0.8,22
"55-PKWF",0.867,23
"55-PKWF",0.45,24
"55-PKWF",0,25
"55-PKWF",0,26
"55-PKWF",0,27
"55-PKWF",0,28
"55-PKWF",0,29
"55-PKWF",0.232,30
"55-PKWF",0.65,31
"55-PKWF",0.75,32
"55-PKWF",0.8,33
"55-PKWF",0.85,34
"55-PKWF",0.75,35
"55-PKWF",0.75,36
"55-PKWF",0.8,37
"55-PKWF",0.8,38
"55-PKWF",0.75,39
"55-PKWF",0.75,40
"55-PKWF",0.75,41
"55-PKWF",0.85,42
"55-PKWF",0.85,43
"55-PKWF",0.95,44
"55-PKWF",0.85,45
